ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzdauer
Addr: 0x061B10
Size: 16x20
Unit: us
bar|mm3/Stk;0,00;0,02;0,50;1,00;1,50;2,00;2,50;3,00;4,00;6,00;8,00;11,00;15,00;20,00;28,00;35,00;48,00;60,00;75,00;90,00
120;0,0;223,2;341,2;464,0;549,2;637,2;689,2;707,2;782,0;941,2;1058,0;1215,2;1426,0;1690,0;2112,0;2481,2;3167,2;3800,0;4591,2;5382,0
200;0,0;205,2;287,2;372,0;445,2;507,2;554,0;579,2;639,2;760,0;852,0;978,0;1148,0;1359,2;1697,2;1993,2;2542,0;3049,2;3683,2;4317,2
250;0,0;193,2;253,2;315,2;381,2;426,0;470,0;500,0;549,2;648,0;723,2;830,0;973,2;1139,2;1417,2;1643,2;2063,2;2451,2;2936,0;3421,2
300;0,0;177,2;232,0;289,2;331,2;365,2;396,0;426,0;503,2;584,0;655,2;756,0;877,2;1006,0;1244,0;1422,0;1752,0;2056,0;2437,2;2818,0
400;0,0;181,6;220,0;260,0;299,2;328,0;358,0;379,2;426,0;500,0;560,4;630,4;731,2;836,0;1008,0;1167,2;1463,2;1735,2;2076,0;2417,2
500;0,0;172,4;202,0;233,2;263,2;292,0;313,2;334,0;386,0;453,2;504,0;566,4;646,4;749,2;908,4;1026,0;1274,0;1502,0;1787,2;2073,2
600;0,0;176,4;206,0;237,2;262,0;281,2;302,0;322,0;363,2;413,2;463,2;521,2;585,2;673,2;824,0;945,2;1151,2;1360,0;1621,2;1882,0
700;0,0;182,8;208,4;231,2;248,0;269,2;290,0;305,2;334,0;388,0;442,0;487,2;544,4;623,2;750,0;867,2;1045,2;1227,2;1455,2;1684,0
800;0,0;188,0;209,2;231,2;254,4;278,0;293,2;307,2;334,0;377,2;420,0;468,0;519,2;592,0;698,4;813,2;963,2;1137,2;1352,0;1565,2
900;0,0;192,0;211,2;231,2;250,0;272,0;287,2;300,0;328,0;377,2;418,0;455,2;504,0;565,2;660,0;767,2;913,2;1056,0;1254,4;1444,4
1000;0,0;194,8;210,0;226,0;244,0;262,0;277,2;291,2;316,0;363,2;404,0;444,8;484,4;537,2;631,2;725,2;864,0;1007,2;1193,2;1373,2
1200;0,0;192,8;208,0;224,0;239,2;253,2;266,0;277,2;301,6;344,4;385,2;424,0;460,0;509,2;589,2;667,2;804,4;933,2;1098,4;1260,0
1300;0,0;195,6;208,0;221,2;232,0;247,2;263,2;273,2;295,2;337,2;376,4;415,2;453,2;498,0;572,0;652,4;784,0;902,0;1051,2;1202,0
1400;0,0;192,8;207,2;222,0;233,2;244,0;256,0;265,2;284,4;327,2;368,4;404,4;444,4;490,0;557,2;630,4;758,0;872,0;1017,2;1163,2
1600;0,0;193,6;205,2;217,2;228,0;240,0;252,0;264,0;284,4;319,2;358,4;397,2;431,2;472,4;542,4;606,4;718,0;818,0;950,0;1075,2
1800;0,0;189,6;200,0;211,2;223,2;236,0;247,2;256,0;276,0;309,2;339,2;379,2;418,0;458,4;525,2;587,2;687,2;792,0;924,0;1057,2
