ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #12
Addr: 0x032C66
Size: 14x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;10,00;20,00;25,00;27,50;30,00;35,00;50,00;65,00
600;-6,40;-6,40;-6,40;-4,27;0,00;2,13;2,13;2,13;2,13;2,13
610;-6,40;-6,40;-6,40;-4,27;-2,13;-1,08;1,08;1,08;1,08;1,08
860;-6,40;-6,40;-6,40;-4,27;-2,13;-1,08;1,08;1,08;1,08;1,08
1000;-4,27;-4,27;-4,27;-2,13;0,00;2,13;2,13;1,08;1,08;1,08
1250;-2,13;-2,13;-2,13;-2,13;-1,08;2,13;2,13;1,08;1,08;1,08
1500;0,00;0,00;0,00;0,00;-1,27;-1,08;3,21;2,13;2,13;2,13
1750;0,00;0,00;0,00;0,00;-1,08;-2,13;0,00;3,21;4,08;4,08
2000;-0,52;-0,54;-0,47;-0,59;-1,10;-1,62;0,52;4,48;5,86;5,77
2250;0,52;0,52;0,59;0,47;-0,05;-0,02;2,20;6,40;7,34;6,89
2500;2,34;2,34;2,34;2,34;2,34;2,13;3,70;7,94;8,20;7,66
3000;6,40;7,48;7,99;9,28;10,12;11,13;11,72;11,72;12,80;9,16
4000;9,61;10,66;11,72;12,80;13,87;15,84;18,68;18,68;18,89;17,15
4500;10,66;11,72;12,80;13,87;16,01;18,12;20,27;20,27;20,22;20,22
4501;10,66;11,72;12,80;13,87;16,01;18,12;20,27;20,27;20,22;20,22
