ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 1 #1
Addr: 0x05F8CA
Size: 16x12
Unit: deg BTDC
RPM|mm3/stk;4,00;6,00;8,00;10,00;15,00;20,00;25,00;30,00;35,00;40,00;45,00;50,00
980;0,00;0,00;1,17;2,34;5,86;8,20;4,69;0,00;0,00;0,00;0,00;0,00
1000;0,00;1,17;2,34;2,93;7,03;11,72;12,89;4,69;0,00;0,00;0,00;0,00
1250;0,00;1,17;3,52;5,27;8,20;11,72;12,89;10,55;8,20;4,69;0,00;0,00
1500;0,00;1,17;4,10;5,86;8,20;11,72;16,99;16,40;15,23;5,86;2,34;0,00
1750;0,00;1,76;4,69;5,86;9,37;14,06;17,58;17,58;15,23;10,55;9,37;0,00
2000;0,00;1,17;5,27;6,44;8,79;14,06;17,58;17,58;16,40;11,72;9,37;0,00
2250;0,00;0,00;3,52;6,44;8,79;15,23;16,99;15,23;14,06;11,72;9,96;0,00
2500;0,00;0,00;2,34;5,86;10,55;14,06;12,89;8,20;7,03;5,86;7,03;0,00
2750;0,00;0,00;2,34;4,69;8,20;10,55;8,20;4,69;2,34;3,52;7,03;0,00
3000;0,00;0,00;1,76;3,52;5,86;5,86;4,69;2,34;2,34;3,52;4,69;0,00
3250;0,00;0,00;2,34;4,69;4,69;5,86;4,69;2,34;2,34;1,76;1,76;0,00
3500;0,00;0,00;1,76;4,69;7,03;4,69;4,69;3,52;3,52;2,34;1,17;0,00
3750;0,00;0,00;1,76;3,52;5,86;4,69;6,44;7,03;5,86;4,69;0,00;0,00
4000;0,00;0,00;1,17;2,34;4,69;4,69;4,69;5,86;2,34;2,34;0,00;0,00
4250;0,00;0,00;1,17;2,34;2,34;2,34;3,52;3,52;0,00;0,00;0,00;0,00
4500;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
