ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #10
Addr: 0x03237C
Size: 13x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00
900;-2,67;-2,67;-2,67;-1,59;-1,05;-1,05;3,21;3,21;3,21;3,21
1000;-2,67;-2,67;-2,67;-1,59;-1,05;-1,05;3,21;3,21;3,21;3,21
1250;-2,67;-2,67;-2,65;-1,59;-1,05;0,00;1,08;1,08;4,27;4,27
1500;-1,59;-1,59;-1,59;-1,05;-1,05;-1,08;0,00;0,00;4,27;4,27
1750;0,00;0,00;0,00;0,00;0,00;-1,08;-1,08;-1,08;2,13;5,88
2000;1,08;1,08;1,08;0,00;0,00;0,00;0,00;0,00;2,67;7,48
2250;1,08;1,08;1,08;0,00;0,00;0,00;0,00;0,00;3,73;9,07
2500;2,13;2,13;2,13;1,08;1,08;1,08;1,08;1,08;7,99;11,20
3000;4,27;4,27;4,27;3,75;4,80;5,88;6,94;9,61;11,74;14,39
3500;6,40;6,40;6,40;7,48;8,53;9,61;10,66;13,33;15,47;17,60
4000;8,53;8,53;8,53;10,12;11,23;12,82;14,41;17,60;20,27;20,27
4500;11,20;11,20;11,20;12,80;14,39;16,01;18,14;20,79;24,54;24,54
5000;14,39;14,39;14,39;16,01;17,60;19,48;21,87;25,08;26,67;26,67
