ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Raildruck #1
Addr: 0x073302
Size: 16x16
Unit: bar
RPM|mm3/Stk;0,00;0,50;5,00;10,00;15,00;17,50;20,00;22,50;25,00;30,00;35,00;40,00;45,00;50,00;55,00;65,00
500;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;700,0;750,0;750,0;750,0;750,0;750,0;750,0
800;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;700,0;750,0;750,0;750,0;750,0;750,0;750,0
1000;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;700,0;775,0;800,0;800,0;800,0;800,0;800,0
1250;320,0;320,0;420,0;440,0;569,0;604,0;654,0;683,0;750,0;820,0;925,0;1000,0;910,0;850,0;850,0;850,0
1500;470,0;470,0;570,0;630,0;712,0;787,0;860,0;929,0;1060,0;1200,0;1230,0;1300,0;1170,0;1000,0;1000,0;1000,0
1750;550,0;550,0;700,0;770,0;930,0;1020,0;1090,0;1230,0;1340,0;1470,0;1480,0;1550,0;1500,0;1100,0;1100,0;1100,0
2000;600,0;640,0;770,0;800,0;1080,0;1130,0;1220,0;1330,0;1430,0;1590,0;1600,0;1670,0;1690,0;1250,0;1150,0;1150,0
2250;600,0;650,0;780,0;800,0;1130,0;1180,0;1229,0;1370,0;1470,0;1600,0;1690,0;1690,0;1650,0;1410,0;1250,0;1250,0
2500;600,0;650,0;780,0;800,0;1130,0;1180,0;1210,0;1350,0;1480,0;1580,0;1680,0;1690,0;1650,0;1460,0;1300,0;1300,0
2750;633,0;653,0;783,8;812,8;1100,0;1130,0;1150,0;1300,0;1380,0;1400,0;1400,0;1400,0;1400,0;1400,0;1400,0;1400,0
3000;700,0;700,0;790,0;825,7;1120,0;1130,0;1148,0;1270,0;1370,0;1390,0;1400,0;1400,0;1400,0;1400,0;1400,0;1400,0
3500;770,0;770,0;770,0;810,0;1075,0;1090,0;1130,0;1260,0;1370,0;1450,0;1500,0;1550,0;1550,0;1700,0;1700,0;1700,0
4000;760,0;760,0;760,0;784,0;845,0;851,0;914,0;1045,0;1200,0;1300,0;1450,0;1610,0;1657,3;1800,0;1800,0;1800,0
4500;800,0;805,0;805,0;813,0;908,0;962,7;1030,0;1126,7;1250,0;1450,0;1540,0;1670,0;1800,0;1800,0;1800,0;1800,0
4800;800,0;805,0;805,0;813,0;908,0;1000,0;1100,0;1200,0;1400,0;1600,0;1800,0;1800,0;1800,0;1800,0;1800,0;1800,0
5500;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0
