ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #11
Addr: 0x0324B2
Size: 13x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00
900;-4,27;-4,27;-4,27;-4,27;-2,13;-1,08;3,21;3,21;3,21;3,21
1000;-4,27;-4,27;-4,27;-4,27;-2,13;-1,08;3,21;3,21;3,21;3,21
1250;-3,75;-3,75;-3,73;-3,73;-2,13;0,00;1,08;1,08;4,27;4,27
1500;-2,67;-2,67;-2,67;-2,67;-2,67;-2,13;0,00;0,00;4,27;4,27
1750;-1,08;-1,08;-1,08;-2,13;-2,13;-2,13;-1,08;-1,08;1,05;5,88
2000;0,00;0,00;0,00;-1,59;-1,59;-1,59;-0,54;0,00;1,59;7,48
2250;1,08;1,08;1,08;-1,08;-1,08;-0,54;-0,54;0,00;3,19;9,07
2500;2,13;2,13;2,13;0,54;0,54;1,62;2,70;2,70;8,53;11,20
3000;4,27;4,27;4,27;3,75;4,80;5,88;6,94;9,61;12,26;14,39
3500;6,40;6,40;6,40;7,48;8,53;9,61;10,66;13,33;16,01;17,86
4000;8,53;8,53;8,53;10,12;11,23;12,82;14,41;17,60;22,40;22,40
4500;11,20;11,20;11,20;12,80;14,39;16,01;18,14;20,79;26,67;26,67
5000;14,39;14,39;14,39;16,01;17,60;19,48;21,87;25,08;28,80;28,80
