ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Raildruck #3
Addr: 0x073C0A
Size: 16x12
Unit: bar
RPM|mm3/Stk;2,00;4,00;8,00;10,00;15,00;20,00;25,00;30,00;35,00;40,00;45,00;50,00
980;320,0;320,0;320,0;330,0;530,0;620,0;650,0;650,0;650,0;650,0;650,0;650,0
1000;320,0;320,0;320,0;330,0;530,0;620,0;650,0;650,0;650,0;650,0;650,0;650,0
1250;320,0;320,0;350,0;400,0;535,0;630,0;675,0;700,0;725,0;750,0;750,0;775,0
1500;340,0;350,0;400,0;450,0;540,0;640,0;700,0;900,0;900,0;900,0;900,0;900,0
1750;350,0;370,0;440,0;485,0;575,0;670,0;750,0;950,0;1000,0;1050,0;1050,0;1050,0
2000;350,0;390,0;480,0;550,0;620,0;730,0;820,0;975,0;1050,0;1150,0;1150,0;1200,0
2250;370,0;420,0;525,0;630,0;725,0;840,0;910,0;1000,0;1100,0;1200,0;1200,0;1250,0
2500;405,0;455,0;570,0;700,0;810,0;937,5;990,0;1030,0;1200,0;1250,0;1250,0;1300,0
2750;430,0;495,0;615,0;770,0;857,5;1000,0;1035,0;1070,0;1200,0;1300,0;1300,0;1400,0
3000;475,0;545,0;655,0;800,0;885,0;1030,0;1075,0;1125,0;1250,0;1300,0;1400,0;1400,0
3250;545,0;610,0;700,0;830,0;907,5;1060,0;1112,5;1175,0;1250,0;1325,0;1400,0;1500,0
3500;615,0;700,0;760,0;860,0;950,0;1090,0;1180,0;1325,0;1400,0;1450,0;1525,0;1700,0
3750;715,0;780,0;820,0;890,0;1000,0;1140,0;1287,5;1412,5;1500,0;1575,0;1612,5;1750,0
4000;800,0;815,0;850,0;900,0;1000,0;1200,0;1400,0;1475,0;1575,0;1650,0;1700,0;1800,0
4250;825,0;830,0;850,0;925,0;1025,0;1225,0;1425,0;1475,0;1575,0;1650,0;1725,0;1800,0
4500;850,0;850,0;850,0;950,0;1050,0;1250,0;1450,0;1475,0;1575,0;1650,0;1750,0;1800,0
