ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Rauchbegrenzer - untere Grenze Lambda #2
Addr: 0x07C440
Size: 16x16
Unit: Lambda
RPM|mg/Stk;0,0;10,0;20,0;50,0;80,0;100,0;150,0;200,0;300,0;400,0;500,0;750,0;1000,0;1500,0;2000,0;2500,0
100;0,800;0,800;0,900;0,900;1,000;1,000;1,000;1,100;1,100;1,200;1,300;1,300;1,300;1,300;1,300;1,300
200;0,800;0,900;1,000;1,000;1,000;1,100;1,100;1,100;1,200;1,300;1,300;1,300;1,300;1,300;1,300;1,300
350;0,800;0,900;1,000;1,000;1,000;1,200;1,200;1,200;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
500;0,900;0,900;1,000;1,000;1,000;1,200;1,200;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
650;0,900;1,000;1,000;1,000;1,000;1,200;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
800;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
1000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
1250;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
1500;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
2000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
2500;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
3000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
3500;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
4000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
5000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
6000;1,000;1,000;1,000;1,000;1,000;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300;1,300
