ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Raildruck #2
Addr: 0x073788
Size: 16x15
Unit: bar
RPM|mm3/Stk;2,50;5,00;10,00;15,00;17,50;20,00;22,50;25,00;30,00;35,00;40,00;45,00;50,00;55,00;65,00
500;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;750,0;750,0;750,0;750,0;750,0;750,0
800;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;750,0;750,0;750,0;750,0;750,0;750,0
900;320,0;320,0;320,0;330,0;530,0;590,0;620,0;630,0;650,0;850,0;800,0;800,0;800,0;800,0;800,0
1000;320,0;320,0;420,0;440,0;710,0;820,0;950,0;960,0;970,0;1050,0;1100,0;1100,0;850,0;850,0;850,0
1250;470,0;470,0;570,0;630,0;900,0;950,0;990,0;1080,0;1150,0;1200,0;1200,0;1300,0;1200,0;1000,0;1000,0
1500;550,0;550,0;700,0;770,0;990,0;1070,0;1135,0;1345,0;1370,0;1500,0;1500,0;1500,0;1300,0;1100,0;1100,0
1750;600,0;650,0;770,0;800,0;1130,0;1200,0;1270,0;1430,0;1450,0;1600,0;1600,0;1600,0;1550,0;1150,0;1150,0
2000;600,0;650,0;780,0;800,0;1150,0;1190,0;1229,0;1456,2;1470,0;1750,0;1750,0;1750,0;1750,0;1250,0;1250,0
2250;600,0;650,0;780,0;800,0;1140,0;1195,0;1210,0;1391,0;1490,0;1750,0;1750,0;1750,0;1750,0;1300,0;1300,0
2500;633,3;653,3;653,4;702,8;1100,0;1110,0;1130,0;1316,7;1380,0;1470,0;1540,0;1446,0;1400,0;1400,0;1400,0
2750;700,0;700,0;800,0;865,7;1123,3;1130,0;1148,0;1270,0;1370,0;1390,0;1400,0;1400,0;1400,0;1400,0;1400,0
3000;770,0;770,0;770,1;810,1;1085,0;1090,0;1130,0;1264,0;1370,0;1450,0;1500,0;1550,0;1550,0;1700,0;1700,0
3500;760,0;760,0;760,0;784,0;845,0;850,7;914,0;1045,0;1200,0;1300,0;1452,7;1610,7;1657,3;1800,0;1800,0
4000;800,0;805,0;805,0;813,3;908,0;962,7;1034,7;1126,7;1250,7;1450,0;1540,7;1674,7;1800,0;1800,0;1800,0
4500;800,0;805,0;805,0;813,3;908,0;1000,0;1100,0;1200,0;1400,0;1600,0;1800,0;1800,0;1800,0;1800,0;1800,0
5000;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0;300,0
