ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 3 #1
Addr: 0x0314DC
Size: 12x10
Unit: deg BTDC
RPM|mm3/Stk;2,00;5,00;7,50;10,00;15,00;20,00;30,00;40,00;50,00;60,00
800;-3,21;-2,13;-1,59;-1,08;-1,08;0,00;0,54;1,62;2,67;3,21
1000;-2,67;-2,13;-1,59;-1,08;-1,08;0,00;0,54;1,08;2,13;3,21
1500;-0,54;-0,54;-0,54;-0,54;-0,54;1,08;1,08;2,13;3,21;4,27
2000;0,54;0,54;0,54;0,54;1,08;2,13;3,21;3,21;5,34;5,86
2500;1,08;1,08;1,08;1,08;2,13;3,21;4,80;5,34;8,53;10,12
3000;2,13;3,21;6,94;6,94;6,94;7,99;7,99;10,66;13,87;16,01
3500;3,19;5,34;8,53;8,53;9,09;9,87;10,99;13,31;15,70;17,86
3750;4,27;6,94;9,61;9,61;10,92;12,23;13,78;16,01;18,65;20,25
4000;5,32;8,53;10,66;10,66;12,80;14,93;16,55;18,65;22,40;22,40
4400;6,40;10,66;11,74;11,74;14,08;16,78;18,94;21,33;24,54;24,54
5000;7,69;13,03;13,03;13,03;15,89;19,87;22,64;25,59;26,67;26,67
5400;10,64;15,98;15,98;15,98;19,10;24,12;27,72;28,80;28,80;28,80
